Title: Project Name,Blog Slug,Collections,Events,Funder(s),Initial Review of Data Complete,Notes/Comments re This Page Content (REVIEW ),Output: Project URL,Outputs,Outputs: Other,Project,Project Description (Internal Use),Project Description (Public),Project Partners,Project Status,Project Tag(s),Project Team,Related Blog,Resource,SBD www Status,SOW Project Dates,Slug (for SBD www),Team Directory,Topics,Who to Check Data
PhishDetect,https://simplysecure.org/blog/strength-in-numbers,,,https://www.notion.so/0f806388ce124355bcab9f09a3ed31b6,No,,https://phishdetect.io,Phish Detect Website (https://www.notion.so/Phish-Detect-Website-1d2ea8f8223c43f3991d87f3078ffed1?pvs=21),"https://phishdetect.io,https://web.archive.org/web/20210511141938/https://phishdetect.io/",Amnesty International | PhishDetect (https://www.notion.so/Amnesty-International-PhishDetect-ec49b134578c48079facfc922a063260?pvs=21),"PhishDetect is a browser extension complementing an online service that allows you to scan suspicious links and webpages to determine if they are potential phishing sites. 
OR
Amnesty International asked us to help improve user accessibility and trust for PhishDetect, an open-source browser extension that helps at-risk users mitigate phishing attacks through a coordinated human network.

Protecting front-line human rights defenders from phishing and showcasing the power of design to protect people. The quality of branding/identity work distinguishes this project from similar efforts",,https://www.notion.so/448416374f0e477d8e53af58eaae05cc,complete,"https://www.notion.so/15e2c9d1335e4efdb26e2bdd78f29496, https://www.notion.so/25bb3021223c413383cc4ac16d058ea0, https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/8f6862b1080949ff8fa7e195ae1fddf8, https://www.notion.so/9ce32faffa7345b0889fbee7613be3b4, https://www.notion.so/cfed6312f5c04a1d8dd9918dd5756ef9, https://www.notion.so/de56ee74aca2478e85c29b1ba86edeef","ame-elliott,kelsey-smith",Strength in Numbers: Designing to Help At-Risk Users Protect Against Phishing Attacks (https://www.notion.so/Strength-in-Numbers-Designing-to-Help-At-Risk-Users-Protect-Against-Phishing-Attacks-a90ea002c3dc47eba1278a271d12586a?pvs=21),,Publish,"July 1, 2020 → March 1, 2021",,"Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21)",,
Prototype Fund Coaching,,,,"https://www.notion.so/1bfe9bd4f5824211aad20d9341e3cc84, https://www.notion.so/357eb59266f540a19e04258838cb0f97",No,,,Prototype Fund Coaching Projects (https://www.notion.so/Prototype-Fund-Coaching-Projects-b327811a1d4f438a9760f29e5ed66f49?pvs=21),"https://docs.google.com/presentation/d/1Y3O81hPLibAb0H6e7SMgOzxPOwytcM7ybPhBSqpc4pM/edit#slide=id.g2cf99528f50_0_84,https://prototypefund.de/",Prototype Fund | Coaching 2017-2025 (https://www.notion.so/Prototype-Fund-Coaching-2017-2025-c3fb59970197462ba32746928399bf38?pvs=21),Helping civic tech teams with design and strategy,,,complete,"https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b, https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/a56db787f36547c484042790d17e1286, https://www.notion.so/c5a14cf3cf41452a8450ff1d5ca9e333","georgia-bullen,molly-wilson,nicola-pratt,eileen-wagner,ame-elliott,cade-diehm,eriol-fox,caroline-sinders,abhishek-sharma,jan-dittrich,sumana-harihareswara,jon-rogers,saptak-s,allen-gunn,lisa-baird,philliph-drummond,veszna-wessenauer,ann-marie-carrothers,meag-doherty,geoffrey-macdougall,victory-brown,lisa-steingräber,bernard-tyers,tori-boeck,júlia-racskó,laura-gaetano,james-vasile,dan-hon,schirin-lucie-richter,nimisha-vijay,justina-leston,pooja-channaveerappa,romain-robert",,,Publish,"March 1, 2016 → March 31, 2025",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21), Nicola Pratt (https://www.notion.so/Nicola-Pratt-d462e9e2f80f4e44b0a24ed362c31f1a?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Caroline Sinders (https://www.notion.so/Caroline-Sinders-b5b130e648934c478c6f82c72b55675a?pvs=21), Abhishek Sharma (https://www.notion.so/Abhishek-Sharma-bd149c3d7b6247aeaeed59d6fe34d797?pvs=21), Jan Dittrich (https://www.notion.so/Jan-Dittrich-3fc525179bd64612b94174c70d5c2f3c?pvs=21), Sumana Harihareswara (https://www.notion.so/Sumana-Harihareswara-2803940d3ad44f7e9033b342cdbc664a?pvs=21), Jon Rogers (https://www.notion.so/Jon-Rogers-d9d97d4f7d0a4d78b0f93b78cfbee9f0?pvs=21), Saptak S (https://www.notion.so/Saptak-S-45a78fd3681047f5ba4992fdcc635ae9?pvs=21), Allen Gunn (https://www.notion.so/Allen-Gunn-744259ab826f41309a2fcc91a1d39864?pvs=21), Lisa Baird (https://www.notion.so/Lisa-Baird-768f784926304ccaa2dee874262f40e3?pvs=21), Philliph Drummond (https://www.notion.so/Philliph-Drummond-cadf4ff6dc1347308cdff46e33d7e9dc?pvs=21), Veszna Wessenauer (https://www.notion.so/Veszna-Wessenauer-86f9b377595f403e97fe9ce95f692706?pvs=21), Ann Marie Carrothers (https://www.notion.so/Ann-Marie-Carrothers-0a176fb97a674058845d0868f6568647?pvs=21), Meag Doherty (https://www.notion.so/Meag-Doherty-d393d85d2de7459d9918b9280aed17b4?pvs=21), Geoffrey MacDougall (https://www.notion.so/Geoffrey-MacDougall-dcc519bb9f4f42d1969c675ebbfe0732?pvs=21), Victory Brown (https://www.notion.so/Victory-Brown-65769d9083f54ff38c6c5c6e55ac3ecd?pvs=21), Lisa Steingräber (https://www.notion.so/Lisa-Steingr-ber-d532cbad2a014b5f9d8a87dac63d497b?pvs=21), Bernard Tyers (https://www.notion.so/Bernard-Tyers-f770c178ee2a4eb49816c9929e7a7a2f?pvs=21), Tori Boeck (https://www.notion.so/Tori-Boeck-4d856d09f2ee42389d499b24d61decb1?pvs=21), Júlia Racskó (https://www.notion.so/J-lia-Racsk-02a679d9bc044e85b16b0716894d3ded?pvs=21), Laura Gaetano (https://www.notion.so/Laura-Gaetano-9ae790accf45463f8acc96067685549d?pvs=21), James Vasile (https://www.notion.so/James-Vasile-3ebc3980762c42e4bb34b9a0c27c87ee?pvs=21), Dan Hon (https://www.notion.so/Dan-Hon-55bf5e2961da44aeb2ffc0f1f1a984b1?pvs=21), Schirin Lucie Richter (https://www.notion.so/Schirin-Lucie-Richter-4e59ab38ec02483688f8364bbf8555f7?pvs=21), Nimisha Vijay (https://www.notion.so/Nimisha-Vijay-65f3124da78340be8c46899e72f41e87?pvs=21), Justina Leston (https://www.notion.so/Justina-Leston-74c6d14d1d2144c5baf04657c869f666?pvs=21), Pooja Channaveerappa (https://www.notion.so/Pooja-Channaveerappa-960f0f904eff438bae97dd38457caaba?pvs=21), Romain Robert (https://www.notion.so/Romain-Robert-5a59b7865c8e4229bcc64bbec0774ce7?pvs=21)",,
Simply Secure Rebrand: Refresh Community-Led Identity Change,,,,https://www.notion.so/a49242390c1b4a668a185cd7d269ee90,No,"Dates on website dont match

No funders listed on website

Tags do not match website

Description does not match website",,,,SBD | SimSec Refresh Community-Led Identity Change (https://www.notion.so/SBD-SimSec-Refresh-Community-Led-Identity-Change-eefb379a4af14a6c974a06f49bd9b48d?pvs=21),Our community-led process that redesigned our organizational identity from Simply Secure to Superbloom.,,"https://www.notion.so/5743f7b32dfc454b8d58062e0bb09559, https://www.notion.so/67adb4a040ad41039fa8b7e2ac3de2af",complete,"https://www.notion.so/08a4f24448f74435ba8c7c064c1eac81, https://www.notion.so/8f2cec34de65409088a1faaa8c0db5d9, https://www.notion.so/8f6862b1080949ff8fa7e195ae1fddf8, https://www.notion.so/de56ee74aca2478e85c29b1ba86edeef","georgia-bullen,kelsey-smith,eileen-wagner,ngọc-triệu,ame-elliott,susan-kennedy,melissa-huerta,molly-wilson,aaron-brunmeier,kami-joseph,nicola-pratt",,,Publish,"September 1, 2020 → March 31, 2022",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), ngọc triệu (https://www.notion.so/ng-c-tri-u-6ba0a27153c64c288cf4ad6b1d7005dd?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Susan Kennedy (https://www.notion.so/Susan-Kennedy-f196be37d0c346008a09170099db006a?pvs=21), Melissa Huerta (https://www.notion.so/Melissa-Huerta-33995d7c148943a380c061e82f9394fc?pvs=21), Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21), Aaron Brunmeier (https://www.notion.so/Aaron-Brunmeier-4799b5ed89474273b3614c003782a3ed?pvs=21), Kami Joseph (https://www.notion.so/Kami-Joseph-ec6ade08f8754f04bea122b2809b287e?pvs=21), Nicola Pratt (https://www.notion.so/Nicola-Pratt-d462e9e2f80f4e44b0a24ed362c31f1a?pvs=21)",,
Prototype Fund Knowledge Base,,,,https://www.notion.so/1bfe9bd4f5824211aad20d9341e3cc84,No,Project card says project status is paused.   Date of proposal is 18 Feb 21 and that it’s for Q1 - not sure of finish date. What’s the end date?,,,,Prototype Fund | Knowledge Base (https://www.notion.so/Prototype-Fund-Knowledge-Base-a0b376141fc04a88b030832393fe878c?pvs=21),"Design coaching focusing on information architecture, content strategy, and community engagement",,,paused,,eileen-wagner,,,Do Not Publish,"November 16, 2021",,Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21),,
I2P,,,,https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d,No,Dates are taken from the SOW and guessed a bit from the timeline!,,,,OTF Usability Lab 1 | I2P Console & Home Redesign (https://www.notion.so/OTF-Usability-Lab-1-I2P-Console-Home-Redesign-ceca62ee923d4b2ea407571de4626539?pvs=21),Redesign of the I2P Console & Home,,,complete,https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4,eileen-wagner,,,Publish,"November 1, 2019 → January 31, 2020",,Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21),,
OnlineSOS Legal Resources Online Harassment Project,,,,https://www.notion.so/46376e109c4f454b91f7a07ccb4af763,No,,,,,OnlineSOS | Legal Resources Online Harassment (https://www.notion.so/OnlineSOS-Legal-Resources-Online-Harassment-976d50207a2a473f9a771747310c496c?pvs=21),,,,cancelled / OBE,,georgia-bullen,,,Do Not Publish,,,Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21),,
FileZilla,,,,https://www.notion.so/3420d613e1304e67a2f4b8dd8c98005d,No,Marked as a Current project but there’s an end date,https://filezilla-project.org/,FileZilla Website (https://www.notion.so/FileZilla-Website-c50f437f92434e3598dcca587c9ff9cf?pvs=21),"https://docs.google.com/presentation/d/1svosk6hpWnp4lhJpr89_bMfK3F-yhrsBwiFZOG_Vg7o/edit#slide=id.g563113aba2_1_0,https://drive.google.com/file/d/1ilmunEG_8Bly16UXXLDbom8KO0FIQMv2/view,https://filezilla-project.org/","OTF Usability Lab 1 | FileZilla Review, Research & Design (https://www.notion.so/OTF-Usability-Lab-1-FileZilla-Review-Research-Design-8b67f9e2fb3948f78d365bde05a95817?pvs=21)","Expert review of FileZilla’s server tools, assessing common usability challenges around setup and configuration, as well as general use, leveraging heuristic analysis and methods from our usable security audit methodology. We will focus on reviewing the new version of Filezilla server.  Defined priorities for user research and features that require design enhancements. Made design recommendations to address the issues and highlight where more research, testing and design were needed.",,https://www.notion.so/00f814e7e6cf4ad0ab237f8bb3b0f417,complete,"https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/6b980d40189d48c68622dbd69c6a42c5","kelsey-smith,karissa-mckelvey",,,Publish,"July 29, 2021 → November 30, 2021",,"Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21), Karissa McKelvey  (https://www.notion.so/Karissa-McKelvey-8506525efe0f4d6a8a49b9b9e3e7f6c6?pvs=21)",,
On Trust and Transparency: Perspectives from Luminate's portfolio,,,,"https://www.notion.so/bd733623dd0a4bb192fd3bcfa391ae55, https://www.notion.so/c23489a79c0646f5886ffc5bcf61b8e4",No,"Dates taken from the external report timeline.

@Katie Wilson does this need to be updated? I’ve only added this link to the project card and if we need to add the updated link and an internal and eternal report, these need to be added to the Key Outputs in the project card.

There is an updated version I think of this report: https://docs.google.com/document/d/1B3P-r-vHxnnMsnNcj2fCsa9UTYEE0Xkv7JEblRebw1A/edit#heading=h.ue7ubvishvnw

in this folder: https://drive.google.com/drive/folders/10NF58z7UtXG6G4VmHuLBKYx8UWp7NL07

And there’s an internal and external report",,Luminate | On Trust & Transparency | Partner Perspectives Internal Report (https://www.notion.so/Luminate-On-Trust-Transparency-Partner-Perspectives-Internal-Report-de1c8cf7412c4e909eee08170c4c0a67?pvs=21),https://ontrustandtransparency.report/,Luminate | On Trust & Transparency Partner Perspectives (https://www.notion.so/Luminate-On-Trust-Transparency-Partner-Perspectives-d7b29721032f47789de31bdebcaee065?pvs=21),Mapping the grantee experience.,,,complete,"https://www.notion.so/0df2927559b3407da2318dd9db0e00d3, https://www.notion.so/406c23736e1043679f06ee13e5f996d1","georgia-bullen,lorraine-chuen,eileen-wagner,molly-wilson,ame-elliott",,,Publish,"February 18, 2019 → May 11, 2019",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Lorraine Chuen (https://www.notion.so/Lorraine-Chuen-e483f98b684047b1aacc4638826933ef?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21), Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21)",,
"Tech, Community Health and Conferences",,,,https://www.notion.so/e0f05d6495df4f43b28b8050aba68948,No,"Unsure whether req start date is actual start date.  Req end date was either Sep or Oct 21 - unsure which it was

Marked as a Current project but there’s an end date",,,,"Alfred P Sloan Foundation | Tech, Community Health and Conferences (https://www.notion.so/Alfred-P-Sloan-Foundation-Tech-Community-Health-and-Conferences-8442e9149252476bb6bbeb101820fea1?pvs=21)","A research project to surface and analyze the needs of different academic communities, and their needs from different kinds of events, that are unfolding in digital spaces",,,complete,,"caroline-sinders,melissa-huerta,molly-wilson,georgia-bullen",,,Publish,"February 18, 2021 → October 18, 2021",,"Caroline Sinders (https://www.notion.so/Caroline-Sinders-b5b130e648934c478c6f82c72b55675a?pvs=21), Melissa Huerta (https://www.notion.so/Melissa-Huerta-33995d7c148943a380c061e82f9394fc?pvs=21), Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
Destiny App User Testing & Coaching,,,,https://www.notion.so/80a20306efaf4dee9cbb4902781c2aba,No,"Various work has been completed for LA between 2017 and 2022.  Do we want to create separate entries for each project?  Date to be added

What resources to add per list in key outputs above?

In project, the associated blog states there’s one for FileZilla, but no related project blog linked below.

TBD - HOW TO BE PUBLIC",,Least Authority Destiny App (https://www.notion.so/Least-Authority-Destiny-App-e693b20eda264e089d3e92d0de1f726b?pvs=21),"https://docs.google.com/document/d/1F7K9i7yD7rdkqfaGl-jTEfOMjJjWI7PiQny3qUh9OVE/edit#heading=h.7sanywyf9mbj,https://docs.google.com/document/d/1qadspgBSBymZFnI71ZQ7uZS95O2_BPnZj4Z5N6DNvAQ/edit#heading=h.gajwdl25w6md,https://leastauthority.com/blog/launching-destiny-a-free-end-to-end-encrypted-file-transfer-application/",DRL | Least Authority Destiny (https://www.notion.so/DRL-Least-Authority-Destiny-b9159a7b232f4c55a641a532f3b3ac0d?pvs=21),Coaching Least Authority to support their development of tools for human rights organizations.,,,complete,https://www.notion.so/6b980d40189d48c68622dbd69c6a42c5,"ame-elliott,eriol-fox,georgia-bullen,nicola-pratt",,,Publish,"June 13, 2022 → July 6, 2022",,"Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Eriol Fox (https://www.notion.so/Eriol-Fox-f04c9b40e6ff4e628dcb68120bc03ae9?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Nicola Pratt (https://www.notion.so/Nicola-Pratt-d462e9e2f80f4e44b0a24ed362c31f1a?pvs=21)",,
CS&S Web Design,,,,https://www.notion.so/47d683f2cb0c4e45bfc97a4882dc1601,No,,,,,CS&S | Web & Content Strategy (https://www.notion.so/CS-S-Web-Content-Strategy-c570a51365dc486b820fcb80fcd6605f?pvs=21),Helped CS&S develop a solid and sustainable framework for web content strategy as well as refresh the design and development of CS&S website: https://codeforscience.org/,,https://www.notion.so/fa5f2b7070df408ea62e4ab3ad48f48d,complete,,"susan-kennedy,katie-wilson,georgia-bullen",,,Publish,"November 16, 2021 → August 31, 2022",,"Susan Kennedy (https://www.notion.so/Susan-Kennedy-f196be37d0c346008a09170099db006a?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
Acumen Earned Income Accelerator,,,,https://www.notion.so/1e9d00b630d245a0afa3a56c00724a4e,No,Dates taken from course materials,https://plusacumen.novoed.com/#!/courses/nonprofit-accelerator-data-tech/home,Acumen Site (https://www.notion.so/Acumen-Site-315d67ca6fa34ad1990d3c3e79fdfeda?pvs=21),https://plusacumen.novoed.com/#!/courses/nonprofit-accelerator-data-tech/home,Open Society Foundation | Acumen Earned Income Accelerator (https://www.notion.so/Open-Society-Foundation-Acumen-Earned-Income-Accelerator-800f52e9f1f74f5a8ba0e4b271898e25?pvs=21),Data and Technology Earned Income Accelerator - an 8-week virtual course for nonprofit organizations looking to develop an earned income stream that leverages data or technology,,,complete,,"georgia-bullen,eileen-wagner,lorraine-chuen,molly-wilson",,,Publish,"May 8, 2019 → June 26, 2019",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Eileen Wagner (https://www.notion.so/Eileen-Wagner-921112e822a74d7b99b7b81d82a5d40c?pvs=21), Lorraine Chuen (https://www.notion.so/Lorraine-Chuen-e483f98b684047b1aacc4638826933ef?pvs=21), Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21)",,
"Recoding Tech ",,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,"Dates on website dont match

Tags are different on project page and website",,Recoding Tech Website (https://www.notion.so/Recoding-Tech-Website-9c73d8a7b6fa4060b0563b9f1370a83f?pvs=21),"https://www.figma.com/design/L9szOsvQdhyumMOGEz4VnI/Recoding.tech-Wireframes?node-id=0-1&t=jjUUmGbmQdwfDFA6-1,www.techpolicy.press",Reset Tech | Recoding Tech (previously Lambda) (https://www.notion.so/Reset-Tech-Recoding-Tech-previously-Lambda-5da86a14fc3e4126898938fa4e0bb0a0?pvs=21),Recoding.tech is a resource repository for legislators and the general public to get up-to-speed on tech policy issues in order to make more informed policy decisions that help tech work for - not against - democracy.,,"https://www.notion.so/03322b01dba64c9d91b895e690f107bc, https://www.notion.so/1f468602279a4c089bd22cb1098ebae6, https://www.notion.so/918194412d0348c1accc8aae31f10d6c",paused,"https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/4922fd8c54754db08428420c5ee973df, https://www.notion.so/a56db787f36547c484042790d17e1286, https://www.notion.so/bb71660393c04e82bc3fd9834128797b, https://www.notion.so/cfed6312f5c04a1d8dd9918dd5756ef9","katie-wilson,georgia-bullen",,,Do Not Publish,"May 1, 2020 → October 1, 2022",,"Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,Katie Wilson
Socialroots,,,,"https://www.notion.so/026bceb39a354c7a92f2de8c6dc9e299, https://www.notion.so/bbc48a31c80043a1a645097fa7c027c0",No,Marked as paused.  Did this project happen? Not clear from the emails!,,,,NSF & Socialroots | Coaching & Workshop (https://www.notion.so/NSF-Socialroots-Coaching-Workshop-eb665d3022254d7ba425c3d25cc2ac1f?pvs=21),Led overall design direction in a sprint with the Socialroots team,,,complete,,georgia-bullen,,,Publish,"February 21, 2021 → March 25, 2021",,Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21),,
Junkipedia (Reset.Tech),,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,,,,,Reset Tech | Junkipedia (https://www.notion.so/Reset-Tech-Junkipedia-1845e4c9231c439c9959d6ed347d8095?pvs=21),"Design system consulting for the Junkipedia dis- and mis-information platform. We continue to work alongside Junkipedia in our ongoing work with Reset. ",,"https://www.notion.so/1506c7385d224290ae312a2ade9aa4a0, https://www.notion.so/e51e11b651664587aab24956184a54e7",paused,"https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/a0ac61a64b554cbda1900d4fa6a574f5","cade-diehm,benjamin-royer,georgia-bullen",,,Do Not Publish,"January 31, 2021 → January 31, 2022",,"Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21), Benjamin Royer (https://www.notion.so/Benjamin-Royer-34226c0905064a118e1c494c26e29d2b?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
OpenDoTT,,,,"https://www.notion.so/0e63986883794841bf35243deb626f88, https://www.notion.so/a325e032e0cd4af8932322935cf907ee, https://www.notion.so/b74d9528dc1d4b5a88010f593c582235, https://www.notion.so/bbc36e3e8d5a4d06b564f5ecce601b3c",No,,,,,Northumbria University | OpenDoTT PhD Program Partner (https://www.notion.so/Northumbria-University-OpenDoTT-PhD-Program-Partner-4a71601791ec40c2a82838e05a89593b?pvs=21),"Being an industry partner on an academic PhD program funded by the EU. Supporting the students/fellows in their work ",,,complete,https://www.notion.so/02634a1cef8e4d6e82b476fd374fae4b,"ame-elliott,georgia-bullen",,,Publish,"July 1, 2019 → June 30, 2022",,"Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,Ame Elliott
OCCRP,,,,https://www.notion.so/d0e79d0734ad47bab0182637748786cf,No,Dates are taken from the meeting notes!  Bit of a guess,aleph.occrp.org,OCCRP Aleph Website (https://www.notion.so/OCCRP-Aleph-Website-6f3766e472074c4983358ecc36604fbc?pvs=21),aleph.occrp.org,OCCRP | Aleph Website (https://www.notion.so/OCCRP-Aleph-Website-59a757ea0f524e76802cef19ee4cbe2a?pvs=21),"Improving Aleph's UX, and adding design to VIS2.",,"https://www.notion.so/00f814e7e6cf4ad0ab237f8bb3b0f417, https://www.notion.so/b6c4a65555ff43a6abef5b90e2b41b63",complete,"https://www.notion.so/3ad7b6c3cabc44bd958be8a3051f7fe4, https://www.notion.so/6b980d40189d48c68622dbd69c6a42c5","molly-wilson,georgia-bullen",,,Publish,"March 28, 2019 → July 17, 2019",,"Molly Wilson (https://www.notion.so/Molly-Wilson-4b79f4a65a504622a39ff40ff7f33782?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
FacebookFiles.info,,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,"Review dates - date typed in were Sep 1 2021 - Feb 1 2022

Marked as a Current project but there’s an end date",https://facebookfiles.info,Facebook Harms Us Website (https://www.notion.so/Facebook-Harms-Us-Website-1058ecf9d94f4d46bedc780e334020ae?pvs=21),"https://facebookharmsus.info,https://www.figma.com/design/MikGsBs4JjYPqN69XIXiWO/FacebookPapers.info?node-id=101-78&t=ra09V4jed34MGnXH-1",Reset Tech | FacebookFiles.info (https://www.notion.so/Reset-Tech-FacebookFiles-info-11225ce57cd742e58a29605388e94027?pvs=21),"Increasing access to the groundbreaking 2021 evidence showing how Facebook harms users in the name of profit and giving legislators and advocates common narratives to use to fight back. ",,"https://www.notion.so/087f35107ec14e3b8e0fa009241c98be, https://www.notion.so/52d6a95b8dc24ce2a32e70319e754cf5, https://www.notion.so/7ec6a22cfe284e47be4689393c248df3",complete,"https://www.notion.so/a0ac61a64b554cbda1900d4fa6a574f5, https://www.notion.so/bb71660393c04e82bc3fd9834128797b, https://www.notion.so/cfed6312f5c04a1d8dd9918dd5756ef9","georgia-bullen,katie-wilson",,,Publish,"September 13, 2021 → March 31, 2022",,"Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21), Katie Wilson (https://www.notion.so/Katie-Wilson-e3486d686d2d4b189bc027666bd5f3b9?pvs=21)",,Katie Wilson
Meedan,,,,https://www.notion.so/03322b01dba64c9d91b895e690f107bc,No,Dates are taken from the notes.  Project card says the project is paused,,,,Reset Tech | Meedan (https://www.notion.so/Reset-Tech-Meedan-b6f6a302f5b24469824566c022fb5469?pvs=21),Design support for a misinformation platform,,https://www.notion.so/1f468602279a4c089bd22cb1098ebae6,complete,,"cade-diehm,georgia-bullen",,,Publish,"April 14, 2020 → July 7, 2020",,"Cade Diehm (https://www.notion.so/Cade-Diehm-e9fc196bad464125b31385a502269719?pvs=21), Georgia Bullen (https://www.notion.so/Georgia-Bullen-bcb6dbebf05e4b56bd023decec5af79d?pvs=21)",,
Data Donation & Browser Extension Patterns,,,,,No,"Asked @Ame Elliott today if this was an internal project.  Our attempt to get a double word score from the early Rally work.  Ame thinks Georgia did some workshops with Rebecca Weiss.  Doesn’t think money changed hands but there was a meeting or workshop.  Ame attended some calls.  Doesn’t remember creating a document.  Ame doesn’t think the project has finished?

MOVE TO RESOURCE?",,,,,,,,,,"ame-elliott,kelsey-smith",,,Publish,,,"Ame Elliott (https://www.notion.so/Ame-Elliott-11293d3c60b44cf294907c80c1d930a1?pvs=21), Kelsey Smith (https://www.notion.so/Kelsey-Smith-d374a3509f184ae8beaa75ecaba2f6e1?pvs=21)",,
